firedate,commune_clean,province_es,area_ha,latitude,longitude
2023-03-27,Tineo,Asturias,977,43.3092753,-6.491952249131376
2023-03-29,Soba,Cantabria,519,43.19150545,-3.5623671831665567
2023-03-28,Parres,Asturias,1051,43.3588207,-5.184655747613598
2023-03-29,Cangas del Narcea,Asturias,688,43.1774374,-6.5499784
2023-03-30,Ponga,Asturias,586,43.1873037,-5.154087158954772
2023-03-23,Puebla de Arenoso,Castellón,4604,40.1048933,-0.5927755
2023-03-10,Belmonte de Miranda,Asturias,538,43.27306005,-6.261394419297124
2023-03-28,Valdés,Asturias,9722,43.4847858,-6.469369319058544
2023-03-29,Allande,Asturias,4145,43.23721815,-6.688503978561734
2023-03-29,Piloña,Asturias,844,43.3340915,-5.331034991375827
2023-03-29,Baleira,Lugo,1448,43.05400255,-7.228073882860878
2023-03-28,Llanes,Asturias,691,43.4211205,-4.7530835
